"plot","ratio","percentSky","treat","site","Photo.ID"
"10_0",0.174623260191458,0.148663206416494,0,"DALTON",1445
"11_0",0.243545087401367,0.19584741226416,0,"DALTON",1435
"12_1",1.14413311471552,0.533611046284001,1,"DALTON",1410
"15_3",0.750723246689153,0.428807493193952,3,"DALTON",1399
"16_2",1.47066557701091,0.595250765905019,2,"DALTON",1453
"17_3",0.746072899223606,0.427286225881719,3,"STEESE",1505
"18_1",0.508473360235414,0.337078117280149,1,"STEESE",1516
"19_2",0.465922306532926,0.317835607287323,2,"STEESE",1528
"2_3",0.540187852629625,0.35072855022674,3,"STEESE",1519
"22_3",0.629695289301104,0.386388359489675,3,"STEESE",1504
"23_3",0.591971432587532,0.371848024700646,3,"STEESE",1518
"24_3",1.02489113192475,0.5061462889368,3,"STEESE",1511
"25_3",0.613490477647606,0.380225657446734,3,"STEESE",1507
"26_2",1.21695603292053,0.548931063516564,2,"STEESE",1512
"27_2",1.83695972102793,0.647509976053638,2,"STEESE",1522
"28_1",2.73226723375867,0.732066345369132,1,"STEESE",1529
"29_1",0.607133704590032,0.377774234250726,1,"STEESE",1517
"3_2",0.490593195156378,0.329126147060473,2,"STEESE",1524
"33_1",0.805894315978953,0.44625773991768,1,"STEESE",1513
"34_2",0.70078074649039,0.412034736362386,2,"STEESE",1503
"35_3",1.40966013263976,0.585003716310602,3,"STEESE",1509
"36_1",0.870063658877673,0.465258845466173,1,"STEESE",1520
"37_3",0.451583945218496,0.311097368296205,3,"DALTON",1395
"4_2",0.490997644445405,0.329308128872355,2,"STEESE",1523
"40_2",0.786496362472436,0.440245151903896,2,"DALTON",1480
"41_1",2.67474963063144,0.727872617044615,1,"DALTON",1446
"42_1",2.16387829038888,0.683932216028105,1,"DALTON",1501
"44_0",0.16480662954128,0.141488402762769,0,"DALTON",1450
"47_2",0.742188682206753,0.426009358106182,2,"DALTON",1394
"48_1",2.67066921316869,0.727570112716108,1,"DALTON",1448
"50_1",0.756999116131557,0.430847750110579,1,"DALTON",1417
"52_1",0.386122645543502,0.278563117617996,1,"DALTON",1428
"54_3",0.679447075409837,0.40456593444246,3,"DALTON",1403
"55_3",1.29848960900562,0.564931685537346,3,"DALTON",1401
"58_0",0.20654760080693,0.171188936655953,0,"DALTON",1443
"64_1",1.17906584850419,0.541087755247761,1,"DALTON",1418
"65_1",1.06326651128495,0.515331638190926,1,"DALTON",1424
"7_3",0.931079316877685,0.482154880299337,3,"DALTON",1409
"8_2",0.415748910540043,0.293660060371478,2,"DALTON",1473
